@relation twitter-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5-8

@attribute wordcount numeric
@attribute num_key_words numeric
@attribute num_hash numeric
@attribute if_in_reply numeric
@attribute followers_count numeric
@attribute favorites_count numeric
@attribute tweet_count numeric
@attribute num_links numeric
@attribute user_mentions numeric
@attribute symbols_used numeric
@attribute time {late,morning,afternoon,evening}
@attribute user_age numeric
@attribute retweet_count numeric
@attribute favorited_count numeric
@attribute media_freq numeric

@data
0.414475,0.143791,0.046046,0,0.00069,0.002443,0.002503,0.303483,0.230226,0,afternoon,0.03961,0.000139,0.000449,0.48
0.093939,0.059418,0,0,0.000001,0,0.000001,0,0,0,late,0.158489,0,0,0
0.401732,0.13369,0.071371,0.26,0.000001,0.000292,0.000079,0.139303,0.211864,0,evening,0.277296,0.003697,0.000204,0.29
1,1,0.001151,0,0.001669,0.121202,0.04526,0,0.141243,0,late,0.16835,0.00001,0,0.01
0.31155,0.076649,0.008058,0.23,0.000032,0.005245,0.001428,0.024876,0.094633,0,morning,0.158489,0.00452,0.001224,0.31
0.291946,0.114676,0.344192,0,0.000007,0,0.000163,0.497512,0,0,afternoon,0.009901,0,0,0
0.348799,0.120024,0.011511,0.3,0.089081,0.015346,0.128946,0.089552,0.141243,0,late,0.405964,0.009226,0.100579,0.43
0.309917,0.080808,0.162311,0.02,0.000153,0.000042,0.002797,0.502488,0.018362,0,late,0.821789,0.000002,0.000367,0
0.370691,0.11943,0.07022,0.3,0.000034,0.047916,0.003953,0.19403,0.199153,0,late,0.405964,0.000544,0.000571,0.39
0.346185,0.080808,0.002302,0.05,0.000003,0.000048,0.000253,0.422886,0.105932,0,late,0.227753,0.000002,0.000122,0
0.357948,0.141652,0.003489,0.1314,0.000339,0.005441,0.039645,0.20607,0.059929,0,late,0.50493,0.001434,0.000367,0.06061
0.4942,0.219251,0.075976,0.3,0.000039,0.002849,0.000904,0.20398,0.168079,0,late,0.118807,0.000295,0.000938,0.25
0.241627,0.05407,0.052953,0,0.000002,0.00031,0.000192,0.447761,0.016949,0,morning,0.415825,0.000044,0.000041,0.01
0.352393,0.081996,0.230229,0,0.000001,0,0.00029,0.507463,0,0,morning,0.049507,0,0,0.01
0.512825,0.076649,0,0,0.000021,0,0.045337,0.497512,0,0,late,0.029702,0,0,0
0.438654,0.237671,0,0,0.000254,0.000006,0.002101,0.507463,0,0,morning,0.584175,0,0.00053,0
0.315145,0.124777,0.317716,0,0.000001,0.000125,0.001477,0.497512,0,0,morning,0.227753,0,0,0
0.29652,0.058824,0.345344,0,0.000188,0.004422,0.160563,0.497512,0.001412,0,afternoon,0.485209,0.000001,0.000082,0
0.180297,0.089127,0,0.6429,0.00001,0,0.00001,0,0.060537,0,morning,0.049507,0,0.000122,0.07143
0.494854,0.165775,0.081731,0.01,0.000567,0.000221,0.013652,0.258706,0.286723,0,late,0.475229,0.000453,0.000408,0.15
0.275935,0.038622,0.009209,0.43,0.000009,0.004136,0.001074,0.109453,0.193503,0,afternoon,0.009901,0.000105,0.000694,0.28
0.377226,0.142602,0.01036,0.01,0.000038,0.001931,0.005142,0.502488,0.091808,0,evening,0.613877,0.000058,0.000082,0.07
0.454338,0.130719,0.081731,0.13,0.002517,0.028815,0.006942,0.432836,0.132768,0,afternoon,0.465368,0.000017,0.002203,0.15
0.282143,0.060012,0.057557,0.29,0.000036,0.048905,0.007152,0.044776,0.135593,0,late,0.227753,0.015116,0.000204,0.24
0.391276,0.121212,0.02993,0.06,0.000132,0.051527,0.023798,0.099502,0.193503,0,late,0.356422,0.015773,0.000122,0.45
0.566084,0.095663,0.94509,0,0.000004,0.001389,0.000756,0.502488,0.134181,0,evening,0.366401,0.000063,0.000326,0.03
0.558896,0.122995,0.087487,0.02,0.000117,0.052696,0.014791,0.099502,0.251412,0,late,0.049507,0.000209,0,0.52
0.254697,0.064171,0.01036,0.12,0.000098,0.031306,0.007848,0.159204,0.107345,0,late,0.554473,0.03063,0.000898,0.33
0.306322,0.098039,0.087487,0,0.000107,0,0.000628,0.527363,0.014124,0,morning,0.019805,0.000075,0.00053,0.2
0.342264,0.082472,0.098676,0.296,0.0001,0.000072,0.003037,0.238607,0.206215,0,morning,0.782226,0.000332,0.000408,0.03062
0.452704,0.222816,0.016116,0.86,0.000263,0.055288,0.051718,0.437811,0.216102,0,late,0.49507,0.000025,0.000082,0.02
0.256984,0.081996,0.078278,0.25,0.00271,0.001776,0.020483,0.024876,0.14548,0,afternoon,0.198052,0.016025,0,0.48
0.328868,0.04694,0,0.18,0.024914,0.000518,0.016204,0.557214,0.055085,0,late,0.386123,0.000059,0.021054,0.41
0.544519,0.121806,0.028779,0.19,0.000253,0.01248,0.013949,0.089552,0.196328,0,late,0.257455,0.001837,0.000367,0.31
0.666721,0.144979,0.018418,0.01,0.000964,0.283985,0.123695,0.124378,0.183616,0,evening,0.792087,0.001408,0.000449,0.16
0.419703,0.194296,0.298147,0,0.000001,0,0.0002,0.497512,0,0,morning,0.287157,0,0.000082,0
0.343571,0.190731,0.089789,0.17,0.000255,0.001222,0.012468,0.029851,0.084746,0,morning,0.83165,0.004392,0.00053,0.05
0.372652,0.002971,0.162311,0.01,0.000004,0.01385,0.001826,0.353234,0.141243,0,morning,0.128787,0.028156,0,0.32
0.435713,0.064171,0.052953,0.14,0.000033,0.001681,0.001288,0.179104,0.141243,0,afternoon,0.485209,0.001262,0.000163,0.49
0.261559,0.046346,0.005756,0.39,0.00001,0.000226,0.000141,0.19403,0.179379,0,late,0.049507,0.00451,0.000082,0.09
0.239667,0.027332,0.111661,0.03,0.000078,0.020483,0.003019,0.029851,0.084746,0,late,0.148509,0.000597,0.000449,0.37
0.522954,0.103387,0.092092,0,0.000009,0.003898,0.000493,0.074627,0.19209,0,morning,0.029702,0.000184,0,0.35
0.15406,0.008913,0.012663,0,0.000091,0.000226,0.006764,0.482587,0.024011,0,afternoon,0.445527,0.001153,0,0.13
0.339977,0.108734,0.004605,0.13,0.00026,0.021681,0.004526,0.049751,0.193503,0,late,0.128787,0.004306,0.002448,0.27
0.337363,0.087344,0.009209,0.12,0.000976,0.081052,0.135824,0.069652,0.09322,0,afternoon,0.772247,0.00923,0.001142,0.26
0.203725,0.024955,0.389087,0.01,0.000002,0.000006,0.000078,0.497512,0.002825,0,late,0.742545,0,0,0
0.349126,0.091266,0.046518,0.05051,0.000563,0.000083,0.011202,0.462338,0.072768,0,late,0.732684,0.000002,0.000326,0.01011
0.344878,0.02555,0.102452,0,0.000002,0.018487,0.006719,0.238806,0.144068,0,morning,0.346561,0.034179,0,0.65
0.32266,0.094474,0,0,0.000035,0,0.043912,0.343284,0,0,afternoon,0.267316,0,0.000041,0
0.388008,0.178253,0,0,0,0,0,0.497512,0.141243,0,morning,0.237614,0,0,0
0.463486,0.229947,0.011511,0.64,0.000122,0.00298,0.00346,0.039801,0.112994,0,afternoon,0.435666,0.000001,0.003387,0.25
0.494854,0.207605,0.012283,0.56,0.000002,0.000209,0.000054,0.072985,0.15452,0,evening,0.188191,0.000416,0.000653,0.2267
0.352393,0.073084,0.093243,0.01,0.00002,0.001025,0.005771,0.283582,0.053672,0,afternoon,0.524771,0.003405,0.000163,0.22
0.331482,0.127154,0.287786,0,0.000003,0,0.002538,0.497512,0,0,evening,0.03961,0,0,0
0.32266,0.061794,0.008058,0.04,0.001018,0.00031,0.010568,0.402985,0.073446,0,morning,0.405964,0.000032,0.000326,0.04
0.293253,0.019014,0.01036,0.1,0.000118,0.000167,0.016912,0.208955,0.120056,0,afternoon,0.702982,0.00204,0.000041,0.13
0.316125,0.117647,0.009209,0.06,0.000046,0.009839,0.001905,0.084577,0.084746,0,morning,0.623738,0.038432,0.000367,0.28
0.401078,0.148544,0.089789,0.07,0.000145,0.000072,0.003464,0.447761,0.024011,0,morning,0.732684,0,0.000367,0.02
0.359582,0.103268,0.023265,0.1314,0.000165,0.000864,0.000233,0.110597,0.079901,0,morning,0.247594,0.067403,0.001673,0.2324
0.416435,0.118241,0.011511,0.01,0.001418,0.203255,0.028984,0.089552,0.166667,0,late,0.247594,0.030849,0,0.11
0.30861,0.096851,0,0,0.000007,0,0.06696,0,0,0,late,0.267316,0,0.000163,0
0.363176,0.146168,0.064464,0.17,0.000034,0.003177,0.005038,0.014925,0.076271,0,late,0.396103,0.000827,0.000734,0.17
0.348472,0.143791,0.235985,0,0.000123,0,0.01494,0.358209,0,0,late,0.405964,0,0.000286,0.38
0.176605,0.033868,0.001151,0.93,0.000128,0.068495,0.040695,0.00995,0.196328,0,late,0.366401,0.000184,0.000653,0.05
0.352393,0.156863,0.254403,0,0.000011,0.000012,0.000138,0.482587,0.14548,0,late,0.801948,0.000018,0,0.01
0.196863,0.019014,0.158858,0.01,0.000054,0.003778,0.000818,0.462687,0.012712,0,morning,0.257455,0.004452,0.000163,0.07
0.424931,0.048045,0.104098,0,0.000075,0.000733,0.002032,0.100597,0.171328,0,afternoon,0.316859,0.070872,0,0.4575
0.340631,0.014854,0.008058,0.1,0.000039,0.001889,0.003732,0.014925,0.080508,0,late,0.554473,0.003466,0.000408,0.13
0.325274,0.096257,0.017267,0.03,0.000036,0.000006,0.000184,0.437811,0.084746,0,late,0.742545,0.000598,0.000204,0.04
0.402058,0.127154,0.115115,0,0.000024,0.007152,0.006918,0.467662,0.055085,0,afternoon,0.366401,0.000245,0.000082,0.06
0.40696,0.094474,0.074824,0.04,0.000016,0.012545,0.004687,0.094527,0.115819,0,afternoon,0.792087,0.035523,0.000082,0.53
0.277569,0.098633,0.338437,0,0.001279,0.000012,0.006807,0.492537,0.00565,0,morning,0.594036,0.000014,0.001795,0
0.416108,0.043096,0.116381,0,0.000038,0.000733,0.00183,0.120299,0.17387,0,afternoon,0.128787,0.063714,0,0.4286
0.425584,0.10814,0.032232,0,0.000187,0.091326,0.00651,0.179104,0.20904,0,afternoon,0.534632,0.391132,0,0.13
0.249142,0.076649,0.026476,0.13,0.000024,0.002151,0.001742,0.228856,0.024011,0,late,0.732684,0.000633,0.000163,0.03
0.25241,0.034462,0.006907,0.37,0.000183,0.005,0.025477,0.074627,0.114407,0,afternoon,0.267316,0.015816,0.000245,0.2
0.338343,0.110517,0.001151,0.27,0.000012,0.00025,0.000325,0.024876,0.053672,0,afternoon,0.178211,0.002921,0.000367,0.04
0.417742,0.105169,0.043744,0.11,0.000084,0.001424,0.000681,0.41791,0.138418,0,morning,0.693121,0.000004,0.001142,0.04
0.303709,0.092692,0.02993,0.12,0.000193,0.005608,0.00648,0.129353,0.15678,0,morning,0.356422,0.002734,0.000204,0.23
0.228884,0.027332,0.004605,0.43,0.00019,0.004935,0.047101,0.074627,0.09322,0,afternoon,0.475229,0.01162,0.000653,0.17
0.389969,0.125371,0,0,0.068309,0,0.002122,0.497512,0.021186,0,morning,0.445527,0.000016,0.001755,0.18
0.60562,0.127748,0.079429,0,0.0001,0.012831,0.009296,0.064677,0.199153,0,evening,0.405964,0.001846,0,0.14
0.350433,0.058229,0.156556,0,0.000016,0.018356,0.004679,0.522388,0.172316,0,afternoon,0.03961,0.018111,0,0.51
0.51936,0.22044,0.043744,0.11,0.000246,0.001204,0.001886,0.233831,0.060734,0,evening,0.811928,0.000246,0.000775,0.08
0.453357,0.041592,0.096696,0,0.000008,0.00065,0.000164,0.164179,0.233051,0,evening,0.178211,0.002138,0,0.73
0.223983,0.014854,0,0.53,0.00014,0.03813,0.018877,0.044776,0.107345,0,morning,0.138648,0.001444,0.002163,0.06
0.427545,0.024361,0.043744,0.43,0.000012,0.000524,0.000266,0.024876,0.117232,0,late,0.178211,0.00003,0.000041,0.02
0.343571,0.120024,0.085185,0.03,0.000011,0.005668,0.000121,0.114428,0.059322,0,afternoon,0.217892,0.001578,0.001306,0.75
0.385721,0.054664,0.489237,0.01,0.000025,0.000429,0.000916,0.487562,0.025424,0,morning,0.534632,0.000246,0.002326,0.01
0.233459,0.023767,0.067918,0,0.000108,0.016568,0.001222,0.179104,0.218927,0,afternoon,0.009901,0.000217,0,0.98
0.517726,0.424837,0,0,0.000026,0,0.033095,0.532338,0,0,afternoon,0.465368,0,0.00049,0
0.235092,0.147356,0,0,0.026787,0.016479,0.132364,0.507463,0,0,late,0.554473,0,0.000082,0
0.2975,0.05735,0.01607,0.1163,0.000006,0.000018,0.000062,0.208308,0.031215,0,afternoon,0.564334,0.000512,0.000082,0.1861
0.35272,0.044415,0.006977,0.2728,0.000463,0.080962,0.022365,0.035179,0.109859,0,afternoon,0.534632,0.011447,0.00053,0.2627
0.275609,0.086156,0.001151,0.5,0.000138,0.026598,0.037845,0.064677,0.09887,0,afternoon,0.792087,0.001093,0.002815,0.19
0.294886,0.120618,0,0,0.000002,0,0.002319,0.497512,0,0,late,0.207913,0,0.000163,0
0.527201,0.360071,0.108208,0,0.000021,0,0.208553,0,0.282486,0,late,0.188191,0,0.000082,0
0.258618,0.011289,0,0,0.000005,0,0.006747,0.497512,0.141243,0,late,0.118807,0,0,0
0.399445,0.130719,0.04029,0.02,0.00007,0.003486,0.001253,0.363184,0.080508,0,morning,0.148509,0.001845,0.00053,0.02
0.385068,0.087344,0,0,0.000002,0,0.006412,0.497512,0,0,late,0.207913,0,0,1
0.268747,0.097445,0.345344,0,0,0,0.00592,0.497512,0,0,morning,0.475229,0,0,0
0.264499,0.048723,0.447796,0,0.00002,0.001991,0.00099,0.452736,0.004237,0,morning,0.811928,0.000029,0.000408,0.06
0.285084,0.007724,0.124324,0.01,0.000016,0.017831,0.043705,0.288557,0.161017,0,afternoon,0.534632,0.00737,0,0.71
0.490933,0.106952,0,1,0.000951,0.000232,0.029777,0.18408,0.141243,0,afternoon,0.227753,0,0.00049,0
0.110636,0.004244,0.035248,0.01021,0.000131,0.000042,0.003089,0.385871,0.015862,0,morning,0.465368,0.000342,0.000041,0.01021
0.230191,0.102198,0,0,0.000263,0,0.016925,0.497512,0,0,late,0.16835,0,0,0
0.239667,0.07962,0.013814,0,0.000277,0.000316,0.003256,0.522388,0.019774,0,morning,0.465368,0.000026,0.000204,0.03
0.36579,0.047534,0.001151,0,0.000023,0,0.06411,0.497512,0,0,late,0.188191,0,0.000041,1
0.481131,0.156269,0.08058,0.22,0.000114,0.078459,0.004603,0.109453,0.25,0,late,0.712843,0.000229,0.000857,0.3
0.299461,0.010101,0.460458,0,0.000023,0.00003,0.005898,0.497512,0,0,afternoon,0.158489,0,0.000326,0
0.175625,0.041592,0.027627,0.17,0.000136,0.030037,0.006976,0.089552,0.134181,0,evening,0.029702,0.005236,0.003427,0.59
0.339324,0.074866,0.032232,0.03,0.000083,0.003492,0.001842,0.094527,0.120056,0,morning,0.257455,0.088109,0.000041,0.49
0.370364,0.118241,0.037988,0.2,0.000465,0.002944,0.005067,0.074627,0.128531,0,evening,0.376262,0.05397,0.00049,0.43
0.302728,0.106714,0.003525,0.1123,0.000426,0.000518,0.026056,0.025388,0.04613,0,morning,0.524771,0.007375,0.00049,0.1429
0.271361,0.019014,0.105905,0,0.000035,0.005101,0.014928,0.039801,0.141243,0,afternoon,0.287157,0.031707,0,0.84
0.297827,0.103387,0.001151,0,0.00029,0.000101,0.254873,0.492537,0.001412,0,late,0.376262,0,0.000122,0.04
0.372652,0.081996,0.047197,0.22,0.000048,0.007444,0.023382,0.134328,0.10452,0,late,0.346561,0.00363,0.000122,0.51
0.417415,0.002377,0.055255,0,0.000006,0.002449,0.003115,0.412935,0.04661,0,afternoon,0.009901,0.00001,0.000041,0.01
0.271361,0.065954,0.014965,0.16,0.000427,0.068036,0.013961,0.024876,0.177966,0,late,0.217892,0.051434,0.004611,0.27
0.446496,0.098039,0.078278,0.04,0.000016,0.008802,0.002077,0.263682,0.148305,0,afternoon,0.267316,0.00277,0.000041,0.65
0.456298,0.210339,0.276275,0,0,0,0.001083,0.497512,0,0,afternoon,0.346561,0,0,0
0.531776,0.171123,0.004605,0.85,0.000002,0.000244,0.000321,0.0199,0.227401,0,morning,0.009901,0.001874,0,0.01
0.476556,0.204397,0.075976,0.14,0.000077,0.001901,0.004132,0.258706,0.120056,0,late,0.83165,0.000848,0.00102,0.24
0.470348,0.103981,0.095545,0.06,0.000122,0.009625,0.006791,0.164179,0.272599,0,late,0.455507,0.000335,0.000041,0.69
0.311224,0.022579,0.09094,0.03,0.002593,0.316364,0.025429,0.054726,0.169492,0,late,0.485209,0.011368,0.000204,0.32
0.243588,0.073678,0.002302,0.47,0.000266,0.083638,0.030582,0.129353,0.161017,0.109999,late,0.118807,0.002157,0.00151,0.16
0.174318,0.077837,0,0,0.000047,0.000048,0.001415,0.497512,0,0,late,0.237614,0,0.000082,0
